Supplier,Supplier Industry,Supplier Country,Customer,Customer Industry,Customer Country,Relationship1,Relationship2,Relationship3
SKC Co Ltd,Chemicals,South Korea,Samsung Electronics Co Ltd,Technology Hardware,South Korea,suppliesTo,locatedIn,operatesIn
Soulbrain Co Ltd,Chemicals,South Korea,Samsung Electronics Co Ltd,Technology Hardware,South Korea,suppliesTo,locatedIn,operatesIn
BHI Co Ltd,Electrical Equipment,South Korea,Samsung Engineering Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Ecopro Co Ltd,Chemicals,South Korea,Samsung Engineering Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Hyosung Corp,Technology Hardware,South Korea,Samsung Engineering Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Kib Plug Energy,Electrical Equipment,South Korea,Samsung Engineering Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Korea Movenex Co Ltd,Automotive,South Korea,Samsung Engineering Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
LS Electric Co Ltd,Electrical Equipment,South Korea,Samsung Engineering Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Samsung Electronics Co Ltd,Technology Hardware,South Korea,Samsung Engineering Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Samsung Heavy Industries Co Ltd,Transportation Equipment,South Korea,Samsung Engineering Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Samsung SDS Co Ltd,Technology Services,South Korea,Samsung Engineering Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Sung Kwang Bend Co Ltd,Industrial Intermediate Prod,South Korea,Samsung Engineering Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Dongkuk Industries Co Ltd,Steel,South Korea,Samsung Heavy Industries Co Ltd,Transportation Equipment,South Korea,suppliesTo,locatedIn,operatesIn
Korea Electric Power Corp,Electric Utilities,South Korea,Samsung Heavy Industries Co Ltd,Transportation Equipment,South Korea,suppliesTo,locatedIn,operatesIn
POSCO Holdings Inc,Steel,South Korea,Samsung Heavy Industries Co Ltd,Transportation Equipment,South Korea,suppliesTo,locatedIn,operatesIn
Samsung C&T Corp,Engineering & Construction,South Korea,Samsung Heavy Industries Co Ltd,Transportation Equipment,South Korea,suppliesTo,locatedIn,operatesIn
Samsung C&T Corp,Engineering & Construction,South Korea,Samsung Medison Co Ltd,Medical Equipment & Devices,South Korea,suppliesTo,locatedIn,operatesIn
Cosmochemical Co Ltd,Chemicals,South Korea,Samsung SDI Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
DL Holdings Co Ltd,Construction Materials,South Korea,Samsung SDI Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
Ecopro BM Co Ltd,Renewable Energy,South Korea,Samsung SDI Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
Ecopro Co Ltd,Chemicals,South Korea,Samsung SDI Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
Fine Technix Co Ltd,Technology Hardware,South Korea,Samsung SDI Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
HanJung Natural Connectivity System CO Ltd,Automotive,South Korea,Samsung SDI Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
Hansol Chemical Co Ltd,Chemicals,South Korea,Samsung SDI Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
Kukdo Chemical Co Ltd,Chemicals,South Korea,Samsung SDI Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
L&F Co Ltd,Renewable Energy,South Korea,Samsung SDI Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
LS Corp,Electrical Equipment,South Korea,Samsung SDI Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
LS Electric Co Ltd,Electrical Equipment,South Korea,Samsung SDI Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
Mobase Electronics Co Ltd,Automotive,South Korea,Samsung SDI Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
Philenergy Co Ltd,Technology Hardware,South Korea,Samsung SDI Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
POSCO Future M Co Ltd,Chemicals,South Korea,Samsung SDI Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
POSCO Holdings Inc,Steel,South Korea,Samsung SDI Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
Samji Electronics Co Ltd,Technology Hardware,South Korea,Samsung SDI Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
Samsung Electronics Co Ltd,Technology Hardware,South Korea,Samsung SDI Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
Samsung SDS Co Ltd,Technology Services,South Korea,Samsung SDI Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
SAMT Co Ltd,Semiconductors,South Korea,Samsung SDI Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
SDFlex Co Ltd,Industrial Intermediate Prod,South Korea,Samsung SDI Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
SK IE Technology Co Ltd,Chemicals,South Korea,Samsung SDI Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
SKC Co Ltd,Chemicals,South Korea,Samsung SDI Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
Soulbrain Co Ltd,Chemicals,South Korea,Samsung SDI Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
System Engineering Mega Solution,Semiconductors,South Korea,Samsung SDI Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
Samsung C&T Corp,Engineering & Construction,South Korea,Samsung SDS Co Ltd,Technology Services,South Korea,suppliesTo,locatedIn,operatesIn
Samsung Electronics Co Ltd,Technology Hardware,South Korea,Samsung SDS Co Ltd,Technology Services,South Korea,suppliesTo,locatedIn,operatesIn
Samsung SDI Co Ltd,Automotive,South Korea,Samsung SDS Co Ltd,Technology Services,South Korea,suppliesTo,locatedIn,operatesIn
Samsung SDI Co Ltd,Automotive,South Korea,SAMT Co Ltd,Semiconductors,South Korea,suppliesTo,locatedIn,operatesIn
Dae Won Kang Up Co Ltd,Automotive,South Korea,Samwonsteel Co Ltd,Steel,South Korea,suppliesTo,locatedIn,operatesIn
POSCO Holdings Inc,Steel,South Korea,Samwonsteel Co Ltd,Steel,South Korea,suppliesTo,locatedIn,operatesIn
Kumho Petrochemical Co Ltd,Chemicals,South Korea,Samyang Holdings Corp,Chemicals,South Korea,suppliesTo,locatedIn,operatesIn
SKC Co Ltd,Chemicals,South Korea,Sangbo Corp,Industrial Intermediate Prod,South Korea,suppliesTo,locatedIn,operatesIn
POSCO Holdings Inc,Steel,South Korea,Sangsin Brake,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
Samsung SDI Co Ltd,Automotive,South Korea,SDFlex Co Ltd,Industrial Intermediate Prod,South Korea,suppliesTo,locatedIn,operatesIn
Posco International Corp,Steel,South Korea,SeAH Besteel Holdings Corp,Steel,South Korea,suppliesTo,locatedIn,operatesIn
SeAH Holdings Corp,Steel,South Korea,SeAH Besteel Holdings Corp,Steel,South Korea,suppliesTo,locatedIn,operatesIn
Hyundai Steel Co,Steel,South Korea,SeAH Holdings Corp,Steel,South Korea,suppliesTo,locatedIn,operatesIn
KG DONGBUSTEEL,Steel,South Korea,SeAH Holdings Corp,Steel,South Korea,suppliesTo,locatedIn,operatesIn
KISCO Holdings Co Ltd,Steel,South Korea,SeAH Holdings Corp,Steel,South Korea,suppliesTo,locatedIn,operatesIn
POSCO Holdings Inc,Steel,South Korea,SeAH Holdings Corp,Steel,South Korea,suppliesTo,locatedIn,operatesIn
SeAH Besteel Holdings Corp,Steel,South Korea,SeAH Holdings Corp,Steel,South Korea,suppliesTo,locatedIn,operatesIn
SeAH Special Steel Co Ltd,Steel,South Korea,SeAH Holdings Corp,Steel,South Korea,suppliesTo,locatedIn,operatesIn
SeAH Steel Holdings Corp,Steel,South Korea,SeAH Holdings Corp,Steel,South Korea,suppliesTo,locatedIn,operatesIn
SIMPAC Inc,Machinery,South Korea,SeAH Holdings Corp,Steel,South Korea,suppliesTo,locatedIn,operatesIn
SNNC Co Ltd,Metals & Mining,South Korea,SeAH Holdings Corp,Steel,South Korea,suppliesTo,locatedIn,operatesIn
POSCO Holdings Inc,Steel,South Korea,SeAH Special Steel Co Ltd,Steel,South Korea,suppliesTo,locatedIn,operatesIn
SeAH Holdings Corp,Steel,South Korea,SeAH Special Steel Co Ltd,Steel,South Korea,suppliesTo,locatedIn,operatesIn
POSCO Holdings Inc,Steel,South Korea,SeAH Steel Corp,Steel,South Korea,suppliesTo,locatedIn,operatesIn
SeAH Holdings Corp,Steel,South Korea,SeAH Steel Corp,Steel,South Korea,suppliesTo,locatedIn,operatesIn
POSCO Holdings Inc,Steel,South Korea,SeAH Steel Holdings Corp,Steel,South Korea,suppliesTo,locatedIn,operatesIn
SeAH Holdings Corp,Steel,South Korea,SeAH Steel Holdings Corp,Steel,South Korea,suppliesTo,locatedIn,operatesIn
GS Caltex Corp,Oil & Gas Producers,South Korea,Sebang Co Ltd,Transportation & Logistics,South Korea,suppliesTo,locatedIn,operatesIn
SeAH Holdings Corp,Steel,South Korea,Sechang Steel Co Ltd,Steel,South Korea,suppliesTo,locatedIn,operatesIn
KEPCO Plant Service & Engineering Co Ltd,Engineering & Construction,South Korea,Seetec Co Ltd,Chemicals,South Korea,suppliesTo,locatedIn,operatesIn
LG Chem Ltd,Chemicals,South Korea,Seetec Co Ltd,Chemicals,South Korea,suppliesTo,locatedIn,operatesIn
SKC Co Ltd,Chemicals,South Korea,Sejin TS Co Ltd,Technology Hardware,South Korea,suppliesTo,locatedIn,operatesIn
Hyundai Mobis Co Ltd,Automotive,South Korea,Sejong Industrial Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
Hyundai Motor Co,Automotive,South Korea,Sejong Industrial Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
Hyundai Steel Co,Steel,South Korea,Sejong Industrial Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
Kia Corp,Automotive,South Korea,Sejong Industrial Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
SJM Co Ltd,Automotive,South Korea,Sejong Industrial Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
Dongil Industries Co Ltd,Steel,South Korea,Semyung Industrial Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
Korea Electric Power Corp,Electric Utilities,South Korea,S-Energy Co Ltd,Renewable Energy,South Korea,suppliesTo,locatedIn,operatesIn
KG Eco Technology Service Co Ltd,Electric Utilities,South Korea,SEO AN Camtech Co Ltd,Chemicals,South Korea,suppliesTo,locatedIn,operatesIn
Korea Movenex Co Ltd,Automotive,South Korea,Seohan Enp Co Ltd,Industrial Intermediate Prod,South Korea,suppliesTo,locatedIn,operatesIn
Korea Movenex Co Ltd,Automotive,South Korea,Seohan Industries Co,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
DL Holdings Co Ltd,Construction Materials,South Korea,Seohee Construction Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
POSCO Holdings Inc,Steel,South Korea,Seojin System Co Ltd,Technology Hardware,South Korea,suppliesTo,locatedIn,operatesIn
KEPCO Plant Service & Engineering Co Ltd,Engineering & Construction,South Korea,Seokmun Energy Co Ltd,Electric Utilities,South Korea,suppliesTo,locatedIn,operatesIn
Korea Electric Power Corp,Electric Utilities,South Korea,Seokmun Energy Co Ltd,Electric Utilities,South Korea,suppliesTo,locatedIn,operatesIn
POSCO Holdings Inc,Steel,South Korea,Seondo Electric Co Ltd,Electrical Equipment,South Korea,suppliesTo,locatedIn,operatesIn
DL Holdings Co Ltd,Construction Materials,South Korea,Seoul Metro,Transportation & Logistics,South Korea,suppliesTo,locatedIn,operatesIn
DL Holdings Co Ltd,Construction Materials,South Korea,Seoul Tunnel Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Hyundai Engineering & Construction Co Ltd,Engineering & Construction,South Korea,Seoul Tunnel Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Kumho Petrochemical Co Ltd,Chemicals,South Korea,SEOWONINTECH Co Ltd,Technology Hardware,South Korea,suppliesTo,locatedIn,operatesIn
Samsung SDI Co Ltd,Automotive,South Korea,SEOWONINTECH Co Ltd,Technology Hardware,South Korea,suppliesTo,locatedIn,operatesIn
Mobase Electronics Co Ltd,Automotive,South Korea,Seoyon E-Hwa Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
Ajin Industrial Co Ltd,Automotive,South Korea,Sewon Corp Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
POSCO Future M Co Ltd,Chemicals,South Korea,Sewon E&C Co Ltd,Electrical Equipment,South Korea,suppliesTo,locatedIn,operatesIn
POSCO Holdings Inc,Steel,South Korea,Sewon E&C Co Ltd,Electrical Equipment,South Korea,suppliesTo,locatedIn,operatesIn
Hyosung Chemical Corp,Chemicals,South Korea,Sewoo Global Co Ltd,Chemicals,South Korea,suppliesTo,locatedIn,operatesIn
Samsung SDI Co Ltd,Automotive,South Korea,SFA Semicon Co Ltd,Semiconductors,South Korea,suppliesTo,locatedIn,operatesIn
GS Caltex Corp,Oil & Gas Producers,South Korea,S-Fuelcell Co Ltd,Renewable Energy,South Korea,suppliesTo,locatedIn,operatesIn
BHI Co Ltd,Electrical Equipment,South Korea,SGC e Tec E&C Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Duckshin Housing Co Ltd,Construction Materials,South Korea,SGC e Tec E&C Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Hyosung Corp,Technology Hardware,South Korea,SGC e Tec E&C Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Jeil Technos Co Ltd,Industrial Intermediate Prod,South Korea,SGC e Tec E&C Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
KISCO Holdings Co Ltd,Steel,South Korea,SGC e Tec E&C Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
LS Electric Co Ltd,Electrical Equipment,South Korea,SGC e Tec E&C Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
OCI Holdings Co Ltd,Renewable Energy,South Korea,SGC e Tec E&C Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
SGC Energy Co Ltd,Electric Utilities,South Korea,SGC e Tec E&C Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
POSCO Holdings Inc,Steel,South Korea,SGC Energy Co Ltd,Electric Utilities,South Korea,suppliesTo,locatedIn,operatesIn
POSCO Holdings Inc,Steel,South Korea,Shin Hwa Dynamics Co Ltd,Industrial Intermediate Prod,South Korea,suppliesTo,locatedIn,operatesIn
KEPCO Plant Service & Engineering Co Ltd,Engineering & Construction,South Korea,Shin Pyeongtaek Power Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Korea Electric Power Corp,Electric Utilities,South Korea,Shin Pyeongtaek Power Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Ajin Industrial Co Ltd,Automotive,South Korea,Shin Young Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
Posco International Corp,Steel,South Korea,Shinsegae Engineering & Construction Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
OCI Holdings Co Ltd,Renewable Energy,South Korea,Shinsung E&G Co Ltd,Electrical Equipment,South Korea,suppliesTo,locatedIn,operatesIn
Hansol Chemical Co Ltd,Chemicals,South Korea,Shinwha Intertek Corp,Electrical Equipment,South Korea,suppliesTo,locatedIn,operatesIn
Samsung SDI Co Ltd,Automotive,South Korea,Signetics Corp,Semiconductors,South Korea,suppliesTo,locatedIn,operatesIn
KG Eco Technology Service Co Ltd,Electric Utilities,South Korea,SIMMTECH Co Ltd,Technology Hardware,South Korea,suppliesTo,locatedIn,operatesIn
Dongil Industries Co Ltd,Steel,South Korea,SIMPAC Inc,Machinery,South Korea,suppliesTo,locatedIn,operatesIn
POSCO Holdings Inc,Steel,South Korea,SJM Co Ltd,Automotive,South Korea,suppliesTo,locatedIn,operatesIn
POSCO Future M Co Ltd,Chemicals,South Korea,SK Advanced Co Ltd,Chemicals,South Korea,suppliesTo,locatedIn,operatesIn
POSCO Holdings Inc,Steel,South Korea,SK Advanced Co Ltd,Chemicals,South Korea,suppliesTo,locatedIn,operatesIn
SK ecoplant Co Ltd,Engineering & Construction,South Korea,SK Advanced Co Ltd,Chemicals,South Korea,suppliesTo,locatedIn,operatesIn
SK Gas Ltd,Oil & Gas Producers,South Korea,SK Advanced Co Ltd,Chemicals,South Korea,suppliesTo,locatedIn,operatesIn
SK Innovation Co Ltd,Oil & Gas Producers,South Korea,SK Advanced Co Ltd,Chemicals,South Korea,suppliesTo,locatedIn,operatesIn
SK Advanced Co Ltd,Chemicals,South Korea,SK Chemicals Co Ltd,Chemicals,South Korea,suppliesTo,locatedIn,operatesIn
SK Inc,Oil & Gas Producers,South Korea,SK Chemicals Co Ltd,Chemicals,South Korea,suppliesTo,locatedIn,operatesIn
SK Innovation Co Ltd,Oil & Gas Producers,South Korea,SK Chemicals Co Ltd,Chemicals,South Korea,suppliesTo,locatedIn,operatesIn
DL Holdings Co Ltd,Construction Materials,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Dongkuk Holdings Co Ltd,Steel,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Dongyang Steel Pipe Co Ltd,Steel,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Doosan Enerbility Co Ltd,Machinery,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
HD Korea Shipbuilding & Offshore Engineering Co Ltd,Transportation Equipment,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
HJ Shipbuilding & Construction Co Ltd,Engineering & Construction,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Hyosung Corp,Technology Hardware,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Hyundai Steel Co,Steel,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Jeil Technos Co Ltd,Industrial Intermediate Prod,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
KC Green Holdings Co Ltd,Machinery,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
KEPCO Plant Service & Engineering Co Ltd,Engineering & Construction,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Kib Plug Energy,Electrical Equipment,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
KISCO Holdings Co Ltd,Steel,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Korea Electric Power Corp,Electric Utilities,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Korea Gas Corp,Gas & Water Utilities,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
LS Corp,Electrical Equipment,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
LS Electric Co Ltd,Electrical Equipment,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Samji Electronics Co Ltd,Technology Hardware,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
SGC Energy Co Ltd,Electric Utilities,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
SK Advanced Co Ltd,Chemicals,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
SK Gas Ltd,Oil & Gas Producers,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
SK Inc,Oil & Gas Producers,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
SK Innovation Co Ltd,Oil & Gas Producers,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
SK Telecom Co Ltd,Telecommunications,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
SKC Co Ltd,Chemicals,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Sung Kwang Bend Co Ltd,Industrial Intermediate Prod,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
Winhitech Co Ltd,Steel,South Korea,SK ecoplant Co Ltd,Engineering & Construction,South Korea,suppliesTo,locatedIn,operatesIn
SKC Co Ltd,Chemicals,South Korea,SK Enpulse Co Ltd,Semiconductors,South Korea,suppliesTo,locatedIn,operatesIn
Goseong Green Power Co Ltd,Electrical Equipment,South Korea,SK Gas Ltd,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
GS Caltex Corp,Oil & Gas Producers,South Korea,SK Gas Ltd,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
Korea Electric Power Corp,Electric Utilities,South Korea,SK Gas Ltd,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
Korea Gas Corp,Gas & Water Utilities,South Korea,SK Gas Ltd,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
SK Advanced Co Ltd,Chemicals,South Korea,SK Gas Ltd,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
SK ecoplant Co Ltd,Engineering & Construction,South Korea,SK Gas Ltd,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
SK Inc,Oil & Gas Producers,South Korea,SK Gas Ltd,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
SK Innovation Co Ltd,Oil & Gas Producers,South Korea,SK Gas Ltd,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
SK Shipping Co Ltd,Transportation & Logistics,South Korea,SK Gas Ltd,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
SK Telecom Co Ltd,Telecommunications,South Korea,SK Gas Ltd,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
SKC Co Ltd,Chemicals,South Korea,SK Gas Ltd,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
Ulsan Aromatics Co Ltd,Chemicals,South Korea,SK Gas Ltd,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
Hansol Chemical Co Ltd,Chemicals,South Korea,SK Hynix Inc,Semiconductors,South Korea,suppliesTo,locatedIn,operatesIn
Hyundai Engineering & Construction Co Ltd,Engineering & Construction,South Korea,SK Hynix Inc,Semiconductors,South Korea,suppliesTo,locatedIn,operatesIn
KEPCO Plant Service & Engineering Co Ltd,Engineering & Construction,South Korea,SK Hynix Inc,Semiconductors,South Korea,suppliesTo,locatedIn,operatesIn
Kumho Petrochemical Co Ltd,Chemicals,South Korea,SK Hynix Inc,Semiconductors,South Korea,suppliesTo,locatedIn,operatesIn
SK Innovation Co Ltd,Oil & Gas Producers,South Korea,SK Hynix Inc,Semiconductors,South Korea,suppliesTo,locatedIn,operatesIn
SKC Co Ltd,Chemicals,South Korea,SK Hynix Inc,Semiconductors,South Korea,suppliesTo,locatedIn,operatesIn
Soulbrain Co Ltd,Chemicals,South Korea,SK Hynix Inc,Semiconductors,South Korea,suppliesTo,locatedIn,operatesIn
Korea Petrochemical Ind Co Ltd,Chemicals,South Korea,SK IE Technology Co Ltd,Chemicals,South Korea,suppliesTo,locatedIn,operatesIn
SK Innovation Co Ltd,Oil & Gas Producers,South Korea,SK IE Technology Co Ltd,Chemicals,South Korea,suppliesTo,locatedIn,operatesIn
SK Inc,Oil & Gas Producers,South Korea,SK IF Technology Co Ltd,Chemicals,South Korea,suppliesTo,locatedIn,operatesIn
SK Innovation Co Ltd,Oil & Gas Producers,South Korea,SK IF Technology Co Ltd,Chemicals,South Korea,suppliesTo,locatedIn,operatesIn
Daehan Oil Pipeline Corp,Oil & Gas Producers,South Korea,SK Inc,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
Doosan Enerbility Co Ltd,Machinery,South Korea,SK Inc,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
Ecopro BM Co Ltd,Renewable Energy,South Korea,SK Inc,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
Ecopro Co Ltd,Chemicals,South Korea,SK Inc,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
HD Korea Shipbuilding & Offshore Engineering Co Ltd,Transportation Equipment,South Korea,SK Inc,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
Hyundai Engineering & Construction Co Ltd,Engineering & Construction,South Korea,SK Inc,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
KEPCO Plant Service & Engineering Co Ltd,Engineering & Construction,South Korea,SK Inc,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
KISCO Holdings Co Ltd,Steel,South Korea,SK Inc,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
Korea Electric Power Corp,Electric Utilities,South Korea,SK Inc,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
Korea Gas Corp,Gas & Water Utilities,South Korea,SK Inc,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
Korea Petrochemical Ind Co Ltd,Chemicals,South Korea,SK Inc,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
LS Electric Co Ltd,Electrical Equipment,South Korea,SK Inc,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
OCI Holdings Co Ltd,Renewable Energy,South Korea,SK Inc,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
POSCO Holdings Inc,Steel,South Korea,SK Inc,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
SGC Energy Co Ltd,Electric Utilities,South Korea,SK Inc,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
SK ecoplant Co Ltd,Engineering & Construction,South Korea,SK Inc,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
SK Gas Ltd,Oil & Gas Producers,South Korea,SK Inc,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
SK Hynix Inc,Semiconductors,South Korea,SK Inc,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
SK IE Technology Co Ltd,Chemicals,South Korea,SK Inc,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
SK Innovation Co Ltd,Oil & Gas Producers,South Korea,SK Inc,Oil & Gas Producers,South Korea,suppliesTo,locatedIn,operatesIn
